No.,Series,Votes,Author,Rank Change,2021 Rank
1,The Stormlight Archive,380,Brandon Sanderson,0,1
2,Middle-Earth Universe,371,J.R.R. Tolkien,0,2
3,First Law World,336,Joe Abercrombie,3,6
4,A Song of Ice and Fire,310,George R.R. Martin,1,5
5,Mistborn,257,Brandon Sanderson,-2,3
6,The Wheel of Time,230,Robert Jordan,-2,4
7,Realm of the Elderlings,228,Robin Hobb,1,8
8,Discworld,209,Terry Pratchett,-1,7
9,Malazan,185,Steven Erikson,3,12
10,The Green Bone Saga,173,Fonda Lee,20,30
11,Gentleman Bastard,159,Scott Lynch,-1,10
12,Harry Potter,152,J.K. Rowling,-1,11
13,The Kingkiller Chronicle,130,Patrick Rothfuss,-4,9
14,Red Rising Saga,121,Pierce Brown,1,15
15,Dune,113,Frank Herbert,1,16
16,The Dresden Files,107,Jim Butcher,-3,13
17,Cradle,99,Will Wight,5,22
18,The Murderbot Diaries,93,Martha Wells,0,18
19,The Broken Earth,90,N.K. Jemisin,-5,14
20,Earthsea Cycle,88,Ursula K. Le Guin,-3,17
21,The Locked Tomb,87,Tamsyn Muir,-1,19
22,The Witcher,82,Andrzej Sapkowski,-2,20
23,Piranesi,79,Susanna Clarke,36,59
24,The Dark Tower,69,Stephen King,0,24
25,The Expanse,66,James S. A. Corey,1,26
26,Hyperion Cantos,60,Dan Simmons,22,48
27,Jonathan Strange & Mr Norrell,59,Susanna Clarke,11,38
28,His Dark Materials,56,Philip Pullman,1,29
29,The Books of Babel,50,Josiah Bancroft,-6,23
29,Percy Jackson and the Olympians,50,Rick Riordan,12,41
31,The Hitchhiker's Guide to the Galaxy,48,Douglas Adams,-4,27
32,Wayfarers,45,Becky Chambers,2,34
32,Book of the Ancestor,45,Mark Lawrence,-11,21
34,Riyria,44,Michael J. Sullivan,-9,25
35,Children of Time,43,Adrian Tchaikovsky,34,69
36,The Faithful and the Fallen,42,John Gwynne,3,39
36,The Goblin Emperor,42,Katherine Addison,0,36
36,The Band,42,Nicholas Eames,-6,30
39,Book of the New Sun,41,Gene Wolfe,19,58
39,Hainish Cycle,41,Ursula K. Le Guin,14,53
41,Teixcalaan,39,Arkady Martine,13,54
41,Warbreaker,39,Brandon Sanderson,-2,39
43,Powder Mage,37,Brian McClellan,-2,41
43,The Osten Ard Saga,37,Tad Williams,37,80
45,Project Hail Mary,36,Andy Weir,192,237
45,World of the Five Gods,36,Lois McMaster Bujold,-11,34
45,American Gods,36,Neil Gaiman,3,48
48,The Old Kingdom,35,Garth Nix,11,59
48,Ender's Saga,35,Orson Scott Card,0,48
50,Tress of the Emerald Sea,34,Brandon Sanderson,NEW,N/A
50,Circe,34,Madeline Miller,-9,41
52,Scholomance,33,Naomi Novik,228,280
53,Lightbringer,32,Brent Weeks,-25,28
53,The Chronicles of the Black Company,32,Glen Cook,1,54
53,Berserk,32,Kentaro Miura,47,100
53,The Masquerade,32,Seth Dickinson,6,59
57,One Piece,31,Eiichiro Oda,87,144
58,The Chronicles of Narnia,30,C.S. Lewis,-10,48
58,Grishaverse,30,Leigh Bardugo,-11,47
58,Legends & Lattes,30,Travis Baldree,NEW,N/A
61,Tigana,29,Guy Gavriel Kay,14,75
61,The Lions of Al-Rassan,29,Guy Gavriel Kay,-2,59
61,Kushiel's Universe,29,Jacqueline Carey,4,65
61,The Second Apocalypse,29,R. Scott Bakker,83,144
65,The Poppy War,28,R.F. Kuang,-32,33
65,The Library at Mount Char,28,Scott Hawkins,8,73
65,Tortall Universe,28,Tamora Pierce,-6,59
68,Sandman,26,Neil Gaiman,7,75
68,Parahumans,26,Wildbow,-12,56
70,The Long Price Quartet,25,Daniel Abraham,22,92
70,Howl's Moving Castle,25,Diana Wynne Jones,-3,67
70,The Bloodsworn Saga,25,John Gwynne,52,122
70,The Winternight Trilogy,25,Katherine Arden,3,73
70,Remembrance of Earth's Past,25,Liu Cixin,18,88
70,Good Omens,25,Terry Pratchett and Neil Gaiman,10,80
76,The Burning,24,Evan Winter,-40,36
76,Theonite,24,M.L. Wang,-31,45
78,New Crobuzon (Bas-Lag),23,China Miéville,-12,66
78,The Song of Achilles,23,Madeline Miller,14,92
80,Star Wars,22,Various,102,182
81,Sun Eater,21,Christopher Ruocchio,156,237
81,This is How You Lose the Time War,21,Amal El-Mohtar and Max Gladstone,5,86
81,Nevermoor,21,Jessica Townsend,199,280
84,The Emperor's Soul,20,Brandon Sanderson,19,103
84,The Dandelion Dynasty,19,Ken Liu,75,159
84,Vorkosigan Saga,19,Lois McMaster Bujold,-36,48
84,The Memoirs of Lady Trent,19,Marie Brennan,-6,78
84,The Divine Cities,19,Robert Jackson Bennett,-25,59
89,Mother of Learning,18,Domagoj Kurmaic,93,182
89,The Sarantine Mosaic,18,Guy Gavriel Kay,-22,67
89,Neverwhere,18,Neil Gaiman,-20,69
89,Riftwar Cycle,18,Raymond E. Feist and Janny Wurts,-44,45
93,Blacktongue,17,Christopher Buehlman,NEW,#N/A
93,The Inheritance Cycle,17,Christopher Paolini,-24,69
93,The Licanius Trilogy,17,James Islington,-36,57
93,Gormenghast,17,Mervyn Peake,25,118
93,Spinning Silver,17,Naomi Novik,-24,69
93,The Ocean at the End of the Lane,17,Neil Gaiman,-5,88
93,Kindred,17,Octavia E. Butler,29,122
93,The Last Unicorn,17,Peter S. Beagle,-1,92
101,Terra Ignota,16,Ada Palmer,21,122
101,Culture,16,Iain M. Banks,-21,80
101,Broken Empire world,16,Mark Lawrence,-60,41
101,Earthseed,16,Octavia Butler,-13,88
101,The Wandering Inn,16,Pirateaba,58,159
101,The Stand,16,Stephen King,58,159
101,The House in the Cerulean Sea,16,T.J. Klune,-69,32
108,Rivers of London,15,Ben Aaronovitch,-16,92
108,The Singing Hills Cycle,15,Nghi Vo,172,280
108,The Tide Child,15,R.J. Barker,36,144
108,The Daevabad Trilogy,15,S.A. Chakraborty,-33,75
108,The Roots of Chaos,15,Samantha Shannon,30,138
113,The Martian,14,Andy Weir,-3,110
113,Imperial Radch,14,Ann Leckie,-33,80
113,Skyward,14,Brandon Sanderson,-33,80
113,Fullmetal Alchemist,14,Hiromu Arakawa,400,513
113,Foundation,14,Isaac Asimov,-3,110
113,Chronicles of Amber,14,Roger Zelazny,9,122
113,Sprawl,14,William Gibson,46,159
120,Mage Errant,13,John Bierce,2,122
120,Bartimaeus Sequence,13,Jonathan Stroud,-17,103
120,The Magicians,13,Lev Grossman,-17,103
120,The Books of the Raksura,13,Martha Wells,-17,103
120,Dungeon Crawler Carl,13,Matt Dinniman,393,513
120,Anathem,13,Neal Stephenson,86,206
126,The Once and Future Witches,12,Alix E. Harrow,-4,122
126,Pern,12,Anne McCaffrey,12,138
126,Bobiverse,12,Dennis E. Taylor,-26,100
126,Paksenarrion,12,Elizabeth Moon,18,144
126,Wars of Light and Shadow,12,Janny Wurts,-4,122
126,Southern Reach,12,Jeff VanderMeer,154,280
126,Rook & Rose,12,M.A. Carrick,80,206
126,Lady Astronaut,12,Mary Robinette Kowal,-16,110
126,Babel,12,R.F. Kuang,NEW,#N/A
126,Wayward Children,12,Seanan McGuire,-4,122
126,The Burning Kingdoms,12,Tasha Suri,NEW,#N/A
137,The Ten Thousand Doors of January,11,Alix E. Harrow,-15,122
137,Arcane Ascension,11,Andrew Rowe,-45,92
137,Night Angel,11,Brent Weeks,-59,78
137,The Shadow Campaigns,11,Django Wexler,-34,103
137,The Night Circus,11,Erin Morgenstern,-23,114
137,Temeraire,11,Naomi Novik,7,144
137,The Demon Cycle,11,Peter V. Brett,45,182
137,The Bound and the Broken,11,Ryan Cahill,NEW,#N/A
137,The Chronicles of Thomas Covenant,11,Stephen R. Donaldson,100,237
137,The World of the White Rat,11,T. Kingfisher,-23,114
147,The Warlord Chronicles,10,Bernard Cornwell,90,237
147,Redwall,10,Brian Jacques,-55,92
147,The Five Warrior Angels,10,Brian Lee Durfee,NEW,#N/A
147,The Coldfire Trilogy,10,C.S. Friedman,35,182
147,The Queen's Thief,10,Megan Whalen Turner,-25,122
147,Uprooted,10,Naomi Novik,-55,92
147,Forgotten Realms,10,R.A. Salvatore,NEW,#N/A
147,Ash and Sand,10,Richard Nell,35,182
147,The Steerswoman,10,Rosemary Kirstein,90,237
147,Lays of the Hearth Fire,10,Victoria Goddard,NEW,#N/A
147,Station Eleven,10,Emily St. John Mandel,21,168
158,Raven's Shadow,9,Anthony Ryan,-55,103
158,Empire of the Vampire,9,Jay Kristoff,NEW,#N/A
158,The Nevernight Chronicle,9,Jay Kristoff,122,280
158,The Raven Cycle,9,Maggie Stiefvater,-80,78
158,Essalieyan,9,Michelle Sagara West,24,182
158,Stardust,9,Neil Gaiman,48,206
158,Greatcoats,9,Sebastien de Castell,-36,122
158,The Princess Bride,9,William Goldman,-36,122
158,Saga,9,Brian K. Vaughan & Fiona Staples,0,158
167,Monk & Robot,8,Becky Chambers,NEW,#N/A
167,Elantris,8,Brandon Sanderson,-87,80
167,Navronne,8,Carol Berg,15,182
167,Belgariad Universe,8,David Eddings,-45,122
167,The Starless Sea,8,Erin Morgenstern,2,169
167,Under Heaven,8,Guy Gavriel Kay,-29,138
167,Novels of the Malazan Empire,8,Ian C. Esslemont,NEW,#N/A
167,The Siege,8,K.J. Parker,15,182
167,Strange the Dreamer,8,Laini Taylor,-23,144
167,Alex Stern,8,Leigh Bardugo,15,182
167,The Dark Star Trilogy,8,Marlon James,346,513
167,Frankenstein,8,Mary Shelley,196,363
167,Craft Sequence,8,Max Gladstone,-45,122
167,The Radiant Emperor,8,Shelley Parker-Chan,NEW,#N/A
167,The Once and Future King,8,T.H. White,15,182
167,The Invisible Life of Addie LaRue,8,V.E. Schwab,-8,159
183,Chronicle of the Unhewn Throne,7,Brian Staveley,-1,182
183,Between Two Fires,7,Christopher Buehlman,330,513
183,The Dagger and the Coin,7,Daniel Abraham,-69,114
183,Skulduggery Pleasant,7,Derek Landy,-1,182
183,The Dark Profit Saga,7,J. Zachary Pike,-80,103
183,Ambergris,7,Jeff VanderMeer,23,206
183,Sevenwaters,7,Juliet Marillier,97,280
183,The Chronicles of Prydain,7,Lloyd Alexander,-24,159
183,The Master and Margarita,7,Mikhail Bulgakov,180,363
183,Ascendance of a Bookworm,7,Miya Kazuki,NEW,#N/A
183,Xenogenesis,7,Octavia E. Butler,-24,159
183,Dead Djinn Universe,7,P. Djeli Clark,330,513
183,The Forgotten Beasts of Eld,7,Patricia A. McKillip,54,237
183,Olondria,7,Sofia Samatar,-1,182
183,11/22/1963,7,Stephen King,-2,181
183,IT,7,Stephen King,-1,182
183,The Hunger Games,7,Suzanne Collins,-1,182
183,Sunshine,7,Robin McKinley,-39,144
201,Shadows of the Apt,6,Adrian Tchaikovsky,5,206
201,The Raven Tower,6,Ann Leckie,-32,169
201,Alex Verus,6,Benedict Jacka,-32,169
201,The First Fifteen Lives of Harry August,6,Claire North,-57,144
201,The Checquy Files,6,Daniel O'Malley,5,206
201,Artemis Fowl,6,Eoin Colfer,-19,182
201,Warriors,6,Erin Hunter,36,237
201,Ready Player One,6,Ernest Cline,36,237
201,Fafhrd and the Gray Mouser,6,Fritz Leiber,162,363
201,1984,6,George Orwell,-83,118
201,The Golem and the Jinni,6,Helene Wecker,-91,110
201,Kate Daniels,6,Ilona Andrews,-57,144
201,Thursday Next,6,Jasper Fforde,36,237
201,Codex Alera,6,Jim Butcher,-109,92
201,Shattered Sea,6,Joe Abercrombie,-32,169
201,Never Let Me Go,6,Kazuo Ishiguro,162,363
201,Mars Trilogy,6,Kim Stanley Robinson,36,237
201,Dragonlance,6,Margaret Weis and Tracy Hickman,5,206
201,The Sparrow,6,Mary Doria Russell,-19,182
201,The Acts Of Caine,6,Matthew Woodring Stover,-33,168
201,World War Z,6,Max Brooks,312,513
201,The Neverending Story,6,Michael Ende,5,206
201,Inheritance Trilogy,6,N.K. Jemisin,-32,169
201,Hench,6,Natalie Zina Walschots,162,363
201,The Graveyard Book,6,Neil Gaiman,-83,118
201,The Picture of Dorian Gray,6,Oscar Wilde,312,513
201,Riddle-Master,6,Patricia A. McKillip,79,280
201,Commonwealth Saga,6,Peter F. Hamilton,-42,159
201,War for the Rose Throne,6,Peter McLean,NEW,#N/A
201,Conan,6,Robert E. Howard,-57,144
201,Vlad Taltos,6,Steven Brust,-63,138
201,The 7 1/2 Deaths of Evelyn Hardcastle,6,Stuart Turton,79,280
201,The Machineries of Empire,6,Yoon Ha Lee,-83,118
201,Vita Nostra,6,Marina & Sergey Dyachenko,-58,143
235,The Serpent Gates,5,A.K. Larkwood,NEW,#N/A
235,Glass Immortals,5,Brian McClellan,NEW,#N/A
235,Foreigner,5,C.J. Cherryh,45,280
235,The Darkwater Legacy,5,Chris Wooding,-29,206
235,Oxford Time Travel,5,Connie Willis,-66,169
235,The Drenai Saga,5,David Gemmell,-66,169
235,The World of Riverside,5,Ellen Kushner,278,513
235,A Practical Guide to Evil,5,ErraticErrata,-66,169
235,A Brightness Long Ago,5,Guy Gavriel Kay,278,513
235,Attack on Titan,5,Hajime Isayama,-53,182
235,1Q84,5,Haruki Murakami,128,363
235,Silo,5,Hugh Howey,-29,206
235,The Forever War,5,Joe Haldeman,-66,169
235,Johannes Cabal,5,Jonathan L. Howard,2,237
235,Graceling Realm,5,Kristin Cashore,45,280
235,Valdemar,5,Mercedes Lackey,-29,206
235,The Elric Saga,5,Michael Moorcock,-91,144
235,Iconoclasts,5,Mike Shel,2,237
235,The Phantom Tollbooth,5,Norton Juster,128,363
235,Mercy Thompson,5,Patricia Briggs,-29,206
235,Fahrenheit 451,5,Ray Bradbury,128,363
235,A Night In the Lonesome October,5,Roger Zelazny,128,363
235,Light from Uncommon Stars,5,Ryka Aoki,NEW,#N/A
235,Throne of Glass,5,Sarah J. Maas,128,363
235,Inda,5,Sherwood Smith,-113,122
235,Mexican Gothic,5,Silvia Moreno-Garcia,2,237
235,The Spear Cuts Through Water,5,Simon Jimenez,NEW,#N/A
235,Nettle & Bone,5,T. Kingfisher,NEW,#N/A
235,Circle of Magic,5,Tamora Pierce,278,513
235,Shannara,5,Terry Brooks,45,280
235,Zones of Thought,5,Vernor Vinge,278,513
235,Hunter x Hunter,5,Yoshihiro Togashi,45,280
267,Stariel,4,A.J. Lancaster,NEW,#N/A
267,Elder Race,4,Adrian Tchaikovsky,NEW,#N/A
267,The Others,4,Anne Bishop,96,363
267,The Vampire Chronicles,4,Anne Rice,96,363
267,Childhood's End,4,Arthur C. Clarke,246,513
267,"To Be Taught, If Fortunate",4,Becky Chambers,96,363
267,Captive Prince,4,C.S. Pacat,13,280
267,Fairyland,4,Catherynne M. Valente,246,513
267,The Orphan's Tales,4,Catherynne M. Valente,-30,237
267,Newford,4,Charles de Lint,96,363
267,The Road,4,Cormac McCarthy,13,280
267,Flowers for Algernon,4,Daniel Keyes,13,280
267,Young Wizards,4,Diane Duane,96,363
267,Raven's Mark,4,Ed McDonald,-61,206
267,One Hundred Years of Solitude,4,Gabriel García Márque,96,363
267,Old Man's War,4,John Scalzi,-123,144
267,Pandora Hearts,4,Jun Mochizuki,NEW,#N/A
267,The Tarot Sequence,4,K.D. Edwards,-123,144
267,The Folding Knife,4,K.J. Parker,96,363
267,Crown of Stars,4,Kate Elliott,-85,182
267,Tainted Dominion,4,Krystle Matar,NEW,#N/A
267,The Merlin Prophecy,4,M.K. Hume,NEW,#N/A
267,Time Quintet,4,Madeleine L'Engle,96,363
267,The Scorpio Races,4,Maggie Stiefvater,-30,237
267,Arthurian Saga,4,Mary Stewart,13,280
267,The Space Between Worlds,4,Micaiah Johnson,-61,206
267,Jurassic Park,4,Michael Crichton,-30,237
267,Manifest Delusions,4,Michael R. Fletcher,246,513
267,Arc of a Scythe,4,Neal Shusterman,-61,206
267,Regency Faerie Tales,4,Olivia Atwater,13,280
267,Firefall,4,Peter Watts,NEW,#N/A
267,Do Androids Dream of Electric Sheep?,4,Philip K. Dick,246,513
267,Tales of Tremaine,4,R.R. Virdi,NEW,#N/A
267,Something Wicked This Way Comes,4,Ray Bradbury,96,363
267,The Martian Chronicles,4,Ray Bradbury,96,363
267,Between Earth and Sky,4,Rebecca Roanhorse,-123,144
267,Mushoku Tensei,4,Rifujin na Magonote,NEW,#N/A
267,Lord of Light,4,Roger Zelazny,-30,237
267,October Daye,4,Seanan McGuire,246,513
267,The Dark is Rising,4,Susan Cooper,-30,237
267,Tales from the Flat Earth,4,Tanith Lee,246,513
267,Chainsaw Man,4,Tatsuki Fujimoto,246,513
267,Legendborn,4,Tracy Deonn,-30,237
267,Shades of Magic,4,V.E. Schwab,-129,138
267,Zamonia,4,Walter Moers,-61,206
267,Threadlight,4,Zack Argyle,246,513
313,Final Architecture,3,Adrian Tchaikovsky,NEW,#N/A
313,Guns of the Dawn,3,Adrian Tchaikovsky,-76,237
313,Brave New World,3,Aldous Huxley,-76,237
313,Hussite Trilogy,3,Andrzej Sapkowski,200,513
313,The Little Prince,3,Antoine de Saint-Exupery,-107,206
313,2001: A Space Odyssey,3,Arthur C. Clarke,50,363
313,The Brothers Lionheart,3,Astrid Lindgren,50,363
313,The Kingston Cycle,3,C.L. Polk,50,363
313,The Space Trilogy,3,C.S. Lewis,50,363
313,Saint Death trilogy,3,C.S.E. Cooney,NEW,#N/A
313,To Sleep in a Sea of Stars,3,Christopher Paolini,200,513
313,Imajica,3,Clive Barker,200,513
313,Low Town,3,Daniel Polansky,50,363
313,Troy,3,David Gemmell,200,513
313,Honor Harrington,3,David Weber,200,513
313,Super Powereds,3,Drew Hayes,-107,206
313,Villains' Code,3,Drew Hayes,-33,280
313,Six Chances,3,elmwynn,NEW,#N/A
313,The Greenhollow Duology,3,Emily Tesh,200,513
313,The Black Iron Legacy,3,Gareth Hanrahan,-33,280
313,All the Seas of the World,3,Guy Gavriel Kay,NEW,#N/A
313,Jean le Flambeur,3,Hannu Rajaniemi,200,513
313,Kafka on the Shore,3,Haruki Murakami,200,513
313,The Folk of the Air,3,Holly Black,-76,237
313,Robot,3,Isaac Asimov,-33,280
313,Invisible Cities,3,Italo Calvino,-33,280
313,Defiance of the Fall,3,J.F. Brink,NEW,#N/A
313,Farmer Giles of Ham,3,J.R.R. Tolkien,NEW,#N/A
313,Bone,3,Jeff Smith,-33,280
313,The Winnowing Flame Trilogy,3,Jen Williams,-76,237
313,Spiritwalker,3,Kate Elliott,200,513
313,Deverry Cycle,3,Katharine Kerr,50,363
313,Overlord,3,Kugane Maruyama,NEW,#N/A
313,The First Sister Trilogy,3,Linden A. Lewis,NEW,#N/A
313,Vinland Saga,3,Makoto Yukimura,NEW,#N/A
313,MaddAddam,3,Margaret Atwood,-76,237
313,The Handmaid's Tale,3,Margaret Atwood,-76,237
313,The Midnight Library,3,Matt Haig,NEW,#N/A
313,The Legends of the First Empire,3,Michael J. Sullivan,50,363
313,The Traitor Son Cycle,3,Miles Cameron,-191,122
313,Heaven Official's Blessing,3,Mo Xiang Tong Xiu,200,513
313,Tensorate,3,Neon Yang,-33,280
313,Empire of the Wolf,3,Rich Swan,NEW,#N/A
313,Watership Down,3,Richard Adams,-199,114
313,The Founders Trilogy,3,Robert Jackson Bennett,-175,138
313,The Fire Sacraments,3,Robert V.S. Redick,50,363
313,Damar,3,Robin McKinley,-107,206
313,Deerskin,3,Robin McKinley,-107,206
313,A Half-Built Garden,3,Ruthanna Emrys,NEW,#N/A
